topic,gender_difference,female_prevalence,male_prevalence,frex_words
9,0.145227461635783,0.197984695274754,0.0527572336389712,"husband, girl, uncle, house, beautiful, says, daughter, baby, son, lady, married, aunt, children, loved, never"
5,-0.0852714818486124,0.0324510032486241,0.117722485097236,"suzy, railroad, russians, trains, train, prisoners, snyder, cars, cattle, liberated, officers, birkenau, river, tracks, crossed"
2,-0.0798839023228686,0.0157962550812956,0.0956801574041642,"trial, unrra, joint, theodore, committee, munich, visa, ort, palestine, cases, jdc, japanese, evidence, zone, trials"
4,0.0562803105543098,0.146274459509964,0.0899941489556541,"father, mother, religious, grandmother, synagogue, mothers, church, sobczak, orphanage, irene, parents, jauary, teacher, fathers, sisters"
8,-0.0414571129082632,0.042679216173845,0.0841363290821081,"sweden, norway, oslo, swedish, page, roll, films, thomas, buergenthal, wentworth, norwegian, camera, raoul, video, wallenberg"
11,-0.0413277957415495,0.0364009827302068,0.0777287784717563,"truck, ship, shipped, line, boat, trucks, machine, captain, kapo, waiting, barrack, stopped, jumped, coffee, heavy"
3,0.0322578139474403,0.142373010018068,0.110115196070628,"bread, ghetto, eat, barn, soup, forest, potatoes, piece, wood, coal, wooden, luta, milk, dog, lithuanian"
6,0.017731140371821,0.120705672737945,0.102974532366124,"believe, mean, sense, saying, absolutely, anybody, seeing, realize, remember, survive, whether, gurs, spanish, feel, horrible"
1,0.0163987901050611,0.0786637170312351,0.0622649269261741,"bill, benson, gluckstein, josie, liebermann, oral, verbatim, fritz, dora, memorial, traum, taped, frank, verified, accuracy"
10,-0.0161816343280108,0.0341869621736047,0.0503685965016155,"albert, garih, archives, yugoslavia, ushmm, series, program, survivor, guests, joining, marty, applause, sam, steve, foundation"
12,-0.00230271392776557,0.0764938427484492,0.0787965566762148,"english, kibbutz, university, carol, wrote, learned, citizen, language, spoke, college, study, book, read, serei, worked"
7,-0.00147087553734497,0.0759901832720091,0.0774610588093541,"nesse, godin, gestapo, rice, heberer, patricia, star, immediately, police, cards, hiding, arrested, false, suicide, taken"
